;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkSetHasMiss/items_1000000-2;1;-0.11059876736351226;-0.8466471305662693;0.5859435769868471;-0.5750914650054506;0.490088028944502;-0.45669223286899374;0.4013748283703933
11;BenchmarkSetHasMiss/items_1000000-2;6;0.16257714280845104;-1.2277799877431606;1.032361710837959;-0.986969242346436;0.8926175196799058;-0.8200500252105059;0.810913710816541
1;BenchmarkSetHasMiss/items_1000000-2;11;-32.481734828232554;-33.78415241625684;-29.401479621304972;-33.65771804311619;-29.620933386975313;-33.599391006450475;-30.09970005630791
2;BenchmarkSetHasMiss/items_1000000-2;16;-35.488215513145185;-36.06304485773445;-33.2946928134391;-35.8608401710149;-33.64617843697185;-35.77208975620759;-33.90836289891402
3;BenchmarkSetHasMiss/items_1000000-2;21;-35.07807460338878;-36.564981978829096;-33.06753017111429;-36.43226693323207;-33.419104948225254;-36.347195269116824;-33.75175480035075
4;BenchmarkSetHasMiss/items_1000000-2;26;-34.76212151193645;-36.3014790541139;-33.43737865915723;-36.03408327587686;-33.71577314413978;-35.95140751989;-33.903614952918815
5;BenchmarkSetHasMiss/items_1000000-2;31;-34.57272022905444;-35.50487504015752;-33.631830984922594;-35.342833639210646;-33.9118453212202;-35.16978237523978;-34.1684107291208
6;BenchmarkSetHasMiss/items_1000000-2;36;-34.53308765790246;-35.841885059830744;-32.7036335653622;-35.47410038457076;-33.043404099907846;-35.299789521614564;-33.206790445385145
7;BenchmarkSetHasMiss/items_1000000-2;41;-34.86803981390343;-35.95544179777348;-33.608660930842426;-35.84640144098628;-33.74017114775039;-35.71988950823609;-33.84400542921854
8;BenchmarkSetHasMiss/items_1000000-2;46;-34.46674249598901;-35.61720633940201;-33.319264869208055;-34.94035186939539;-33.635918546745735;-34.710641440317524;-33.76436735169194
9;BenchmarkSetHasMiss/items_1000000-2;51;-34.80489433435542;-36.477872874476546;-33.48779317669997;-36.03611499970305;-33.76892399767176;-35.56482000158358;-33.92666870372416
10;BenchmarkSetHasMiss/items_1000000-2;56;-34.33282349285901;-37.55672778007918;-32.815325492065874;-37.2894573622348;-32.982389129234136;-35.82690895758483;-33.274954837144335
12;BenchmarkSetHasMiss/items_1000000-2;61;-35.099803570182466;-36.09385168496202;-34.21431590144061;-35.67850261645137;-34.51830066780101;-35.55430806418145;-34.60109276842677
13;BenchmarkSetHasMiss/items_1000000-2;66;-34.11971938393401;-38.08328520506012;-31.83197057210274;-36.77898425275745;-32.81611430397828;-36.223695003839026;-33.07487116728653
