;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkIntersectNoOverlap/items_1000-2;1;-4.413793103448271;-19.819937369519835;6.520747834017326;-16.81889352818372;2.5460930640913038;-14.49136276391555;0.9782608695652284
11;BenchmarkIntersectNoOverlap/items_1000-2;6;1.9863236730706557;-0.7716749886518381;10.311789542059113;-0.5757575757575739;9.202755905511806;-0.14518470721084364;8.604725415070247
1;BenchmarkIntersectNoOverlap/items_1000-2;11;0.45008841022342594;-2.347153900210819;5.041620857546736;-1.3140604467805517;3.7310195227765686;-0.9171359613837526;2.541130477276421
2;BenchmarkIntersectNoOverlap/items_1000-2;16;1.0600706713780994;-3.0759371996155083;24.375110795958154;-1.8726591760299671;20.476273248739794;-1.5898251192368873;15.594059405940586
3;BenchmarkIntersectNoOverlap/items_1000-2;21;-0.22753128555176305;-8.669108669108672;2.8874388254486183;-5.921855921855923;1.9780938368481271;-4.9255792542580945;1.6927293245204034
4;BenchmarkIntersectNoOverlap/items_1000-2;26;-0.1568217459487764;-1.8331334589686499;2.5699787199214175;-1.216378276511909;2.016129032258074;-0.9150096779869776;1.7163661581137246
5;BenchmarkIntersectNoOverlap/items_1000-2;31;-0.4533375019540431;-5.16984505363528;9.179155313351494;-2.5256390632175107;8.446866485013626;-1.8587941268353614;7.987057220708449
6;BenchmarkIntersectNoOverlap/items_1000-2;36;0.31895249286553184;-1.8533571776946811;4.658488063660471;-1.1604774535808993;3.108742545362264;-0.8347245409014992;2.3580933131211124
7;BenchmarkIntersectNoOverlap/items_1000-2;41;-1.612367021276595;-3.39037778495318;0.43210902443078236;-3.0776746458231585;-0.1353408898663533;-2.8086218158066667;-0.28716216216215784
8;BenchmarkIntersectNoOverlap/items_1000-2;46;-0.7551919446192601;-2.772185225336843;1.1273957158962844;-2.2062275074323234;0.5959091641166037;-1.9215499444179773;0.3793866582358474
9;BenchmarkIntersectNoOverlap/items_1000-2;51;-0.5005005005005003;-4.570074475287744;2.2188855522188966;-3.977657413676372;1.5328223925358264;-2.9457364341085257;1.061359867330025
10;BenchmarkIntersectNoOverlap/items_1000-2;56;1.1065235342691881;-5.789897904352504;5.62051554610683;-4.1285030758714925;2.5420875420875344;-2.489959839357425;2.285056715436462
12;BenchmarkIntersectNoOverlap/items_1000-2;61;0.0;-5.029980013324453;1.891418563922942;-2.456794307014576;1.5889645538676556;-2.126623376623371;1.0420284821118342
13;BenchmarkIntersectNoOverlap/items_1000-2;66;0.9099616858237569;-7.347919564942451;5.987261146496814;-4.959873700828843;4.792993630573239;-4.2036865137249695;3.948823250671296
