;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMapAddRandomLastBits/lastBits_32-2;1;2.3693855354091298;-5.024175447481594;9.617284081924971;-2.2022706334840714;8.393359439824867;-1.1127625722386014;7.711018952940574
11;BenchmarkMapAddRandomLastBits/lastBits_32-2;6;0.2629230477118938;-4.777385052566041;5.868746694325888;-3.228736774811136;4.345637646450573;-2.6915575164422667;4.008614887602646
1;BenchmarkMapAddRandomLastBits/lastBits_32-2;11;0.3927843905273898;-8.615268653899733;6.049145700274572;-6.23898030868717;4.446037309826156;-5.298339592919065;3.201370295982686
2;BenchmarkMapAddRandomLastBits/lastBits_32-2;16;-1.302611573382506;-7.510259106071404;11.21056172073911;-6.133915963255365;7.282153707759842;-5.408090927428377;6.051930900134028
3;BenchmarkMapAddRandomLastBits/lastBits_32-2;21;-0.44185252390476215;-4.657516965179298;5.723909978925779;-3.1218351311199877;4.67112852051248;-2.609100397707087;3.544200100230066
4;BenchmarkMapAddRandomLastBits/lastBits_32-2;26;-0.35006635073918657;-5.109542136904377;5.805252466785715;-4.115925966107092;4.352131116179381;-3.8365023330334203;3.600177982576036
5;BenchmarkMapAddRandomLastBits/lastBits_32-2;31;1.0834257408476766;-7.64369765728966;9.281375245468126;-5.047109132422611;7.174968680100879;-3.955511773579612;5.781593954132314
6;BenchmarkMapAddRandomLastBits/lastBits_32-2;36;0.40559830491495585;-6.130405344476319;8.939711222001145;-4.364502822173277;7.361284721977568;-3.4447649923330825;6.633956970184651
7;BenchmarkMapAddRandomLastBits/lastBits_32-2;41;-1.0150384217363584;-4.705889968762211;4.452704762106885;-3.8598957800207834;3.2756139126745687;-3.254038884487509;2.4363701419477968
8;BenchmarkMapAddRandomLastBits/lastBits_32-2;46;-0.6805934363356636;-3.430451903095466;5.035832216237468;-2.5707148263730994;2.878479919527721;-2.1975076626327694;2.1486674607157585
9;BenchmarkMapAddRandomLastBits/lastBits_32-2;51;3.3095972033892807;-7.198317386311759;8.940750574197608;-4.609037743460165;7.031992077956195;-3.627477671240209;6.151990571200683
10;BenchmarkMapAddRandomLastBits/lastBits_32-2;56;-0.19119875997026803;-5.451926868158585;7.47861351255803;-4.541283158394549;5.7438739814478;-4.2412652013838485;5.276156139522703
12;BenchmarkMapAddRandomLastBits/lastBits_32-2;61;1.231197478346857;-5.502093915057305;6.003579192230646;-3.6799451932929883;4.6113878788365925;-2.7749709369562114;4.235916248830818
13;BenchmarkMapAddRandomLastBits/lastBits_32-2;66;-2.015594408569499;-8.033309107330366;7.795679879536155;-6.44814446320896;6.413224389394134;-5.46880927761565;4.995655313776415
