;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkIntersectFullOverlap/items_10000000-2;1;-1.085416338664713;-3.6730194360042767;4.9300912523556395;-2.91006248539869;3.023721112552158;-2.582448902038492;2.293013398732091
11;BenchmarkIntersectFullOverlap/items_10000000-2;6;-0.7444764102342183;-2.867573919051447;2.7919911829537014;-2.7434678059163;1.9407371354136949;-1.7737041897746386;1.510457824196454
1;BenchmarkIntersectFullOverlap/items_10000000-2;11;-0.7141033285993914;-3.2886601791553893;3.1466429951824804;-2.678147463654801;1.1168274919067134;-2.3706985979607853;0.6490003357297436
2;BenchmarkIntersectFullOverlap/items_10000000-2;16;-2.7820894126085127;-6.845245258589038;2.7030286382350166;-5.822164400445439;2.6033110904081003;-5.471061698636737;1.592907092495821
3;BenchmarkIntersectFullOverlap/items_10000000-2;21;-3.4483742706296616;-5.500999096127856;-0.7487072875835832;-4.867843741810396;-1.1848385212086865;-4.643006333070088;-1.4527248343715993
4;BenchmarkIntersectFullOverlap/items_10000000-2;26;-2.0384658542606404;-5.837982570364508;1.6034050031925817;-5.244084862437248;1.1897913123739556;-4.37529379091165;0.8334802383386908
5;BenchmarkIntersectFullOverlap/items_10000000-2;31;-2.0417011275445263;-5.904609752932277;3.251014271085828;-5.174360246550769;2.2047434185796355;-4.638982416760196;1.7335694163168824
6;BenchmarkIntersectFullOverlap/items_10000000-2;36;-1.1878733463248081;-3.7713668254290567;2.386340558746558;-3.493281177317664;2.0595954349694523;-3.209468042354602;1.4023018516213348
7;BenchmarkIntersectFullOverlap/items_10000000-2;41;0.11764228302346691;-2.0983861861595177;3.332085120607875;-1.2882303196352751;2.5784839997819997;-0.9158795888892346;2.194368524125556
8;BenchmarkIntersectFullOverlap/items_10000000-2;46;-0.6185684277578485;-2.3916209422058965;1.2718635657794408;-1.8954915731808963;0.8468407865249272;-1.6706285170082436;0.6474994828997271
9;BenchmarkIntersectFullOverlap/items_10000000-2;51;-0.5397987337896093;-3.070536159461068;4.705150480004705;-2.617420615250954;4.030583341523308;-2.0597349987607205;3.270864448513633
10;BenchmarkIntersectFullOverlap/items_10000000-2;56;-1.1325354471919402;-4.839486250897451;2.883079275732481;-4.52587023035862;1.8095494392203815;-4.211245590375102;1.4669211137141147
12;BenchmarkIntersectFullOverlap/items_10000000-2;61;0.22716265768778499;-5.735168303979698;4.657007844986194;-4.134648078884728;2.959999414875325;-3.722108552454273;2.6568243705435313
13;BenchmarkIntersectFullOverlap/items_10000000-2;66;-1.6576610264560143;-7.087832117550185;4.0087443587608185;-5.624978327159191;2.184035213216773;-5.2571000047638154;1.8891686845685873
