;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMapHasMiss/items_10000000-2;1;-0.3900983062793184;-2.223898953737369;56.95098201911324;-1.6132603470961682;53.43774033896289;-1.3293386059906598;51.382825707963576
11;BenchmarkMapHasMiss/items_10000000-2;6;0.07623619779164592;-2.178674270722636;2.3184404559398075;-1.2670352467760826;1.7426081171291852;-0.8878238472960986;1.5004813976706943
1;BenchmarkMapHasMiss/items_10000000-2;11;-0.1013437982310128;-1.656459913705255;2.5257217721265546;-1.1263992376678522;1.7527191516895746;-0.9321763666589322;1.4336168663979576
2;BenchmarkMapHasMiss/items_10000000-2;16;1.3390153436555474;-1.4085539124341628;3.6898517406869447;-1.0719999434270044;2.9622652293834317;-0.9144945423216311;2.8501098664655222
3;BenchmarkMapHasMiss/items_10000000-2;21;-1.0653498878912426;-2.0185154222592483;1.3124946382169211;-1.7317687993616326;0.9549785275598577;-1.6012338604730836;0.48762157356601055
4;BenchmarkMapHasMiss/items_10000000-2;26;-1.1383519585673518;-2.1018455159478644;1.4627561026551383;-1.934117558277404;0.9169863275495516;-1.8712704269570501;0.4102618151251125
5;BenchmarkMapHasMiss/items_10000000-2;31;0.008425911903997552;-2.7425316988823;2.2947428739042985;-2.190344201221972;1.6208899456765513;-1.8810604404353115;1.4240762202995638
6;BenchmarkMapHasMiss/items_10000000-2;36;-0.31163889379359766;-19.280457341201462;3.7825020556492728;-1.8467954645781215;2.002456971660771;-1.5685503236660736;1.5390339305105583
7;BenchmarkMapHasMiss/items_10000000-2;41;-0.37503045663517254;-2.817125725646552;2.672739877896624;-2.5385747306023054;1.9416151594082276;-2.225264177828945;1.5573362875224817
8;BenchmarkMapHasMiss/items_10000000-2;46;0.14460830082474452;-2.1966471521184583;2.1763968645759357;-1.5797987059669283;1.437229498049808;-1.4458515676239903;1.0954469399060862
9;BenchmarkMapHasMiss/items_10000000-2;51;0.9039235971657789;-1.090606164359298;6.869118974395727;-0.6832139779217372;4.719268366384299;-0.4873267066756837;3.9279104596461334
10;BenchmarkMapHasMiss/items_10000000-2;56;-1.259036605299857;-2.1221736178267503;1.8660704131442607;-1.7265059637583735;1.5296967412551377;-1.6187639868702086;1.1784479010710003
12;BenchmarkMapHasMiss/items_10000000-2;61;-0.46141978817325624;-2.228551540255974;4.260505183222674;-1.7344537209030064;3.5147946727367207;-1.3242090886371738;2.42701550370501
13;BenchmarkMapHasMiss/items_10000000-2;66;0.1451197130948323;-3.636462852864486;2.0130387532818927;-2.028823277682912;1.7699505862820208;-1.5814716814497753;1.315624727072029
