;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkIntersectNoOverlap/items_10000000-2;1;0.0023708381331255524;-16.19594114697537;6.136356073879523;-15.0617249953243;3.4839492899807034;-13.99695230211716;2.413960911995505
11;BenchmarkIntersectNoOverlap/items_10000000-2;6;2.881455676356004;-2.201755689829088;5.061472483436402;-0.9158849432289062;4.489463898357604;-0.6707583696877295;4.248232548809638
1;BenchmarkIntersectNoOverlap/items_10000000-2;11;-1.8777633652732995;-4.375038009894472;2.8972428343692513;-4.102447059211734;2.2178064157838406;-3.6128633757353534;1.0666821378398694
2;BenchmarkIntersectNoOverlap/items_10000000-2;16;-0.6863225716086552;-6.82599538971973;3.043115795498186;-6.048663624809125;2.3698736864237846;-3.987945797540804;1.6392970450025413
3;BenchmarkIntersectNoOverlap/items_10000000-2;21;-4.234831885988055;-6.5236123378956234;0.27998202122136995;-5.831830319739484;-0.2064514359006009;-5.439080256515815;-0.8394295743276214
4;BenchmarkIntersectNoOverlap/items_10000000-2;26;-3.4500753323703393;-6.2833794530611105;0.4424429567614796;-5.715294114415748;-0.5016089343176211;-5.490027082950011;-1.0902037429945888
5;BenchmarkIntersectNoOverlap/items_10000000-2;31;-3.77872403107542;-8.4887721282098;0.05023641477612806;-7.610184338264824;-0.7654713695661841;-7.176722434355609;-1.1172965872893847
6;BenchmarkIntersectNoOverlap/items_10000000-2;36;-0.11879479882265231;-4.055409930643528;2.8942392870836775;-2.7022057671293287;1.929781309820755;-1.928516770271782;1.5535482973562775
7;BenchmarkIntersectNoOverlap/items_10000000-2;41;0.3275971008021461;-1.7435360650137066;4.519808570072037;-1.2633778139165441;3.911282674261529;-1.0593728255594348;3.3305119157234886
8;BenchmarkIntersectNoOverlap/items_10000000-2;46;-0.6625909354827653;-3.8957161711802413;3.998321544179362;-2.8093855664469425;2.7303215144961035;-2.491147418773687;2.0478841490487953
9;BenchmarkIntersectNoOverlap/items_10000000-2;51;-0.6882527084085766;-4.062367701550274;3.1205039496282616;-3.055660568371843;2.433266102883258;-2.7076385580435125;1.9032526767030378
10;BenchmarkIntersectNoOverlap/items_10000000-2;56;0.5175999624700944;-3.9228960773216026;3.028813247470108;-3.662139309604362;2.317597310068331;-3.035177848404369;2.1348440802418933
12;BenchmarkIntersectNoOverlap/items_10000000-2;61;0.12197402896363396;-10.649530107655758;2.847446138794618;-7.056718344358237;1.633714778383033;-5.63736634447557;1.1694817833862503
13;BenchmarkIntersectNoOverlap/items_10000000-2;66;-0.23291990750472502;-7.0639237286538865;7.8707403450625435;-6.308459492433083;5.839580047957482;-4.975218623184263;5.454672531811999
